Node1	Node2	PMID
rs121909011	elexacaftor / tezacaftor / ivacaftor	38614858;39048464
haloperidol	rs324420	20631561;23799528
haloperidol	rs1801133	33858192
haloperidol	rs7912580	24751813
haloperidol	rs1003641	22893251
haloperidol	rs2298826	20859245
haloperidol	rs2587550	22893251
haloperidol	rs2412459	24751813
haloperidol	rs2470890	16969362
haloperidol	rs489693	22566560
haloperidol	rs4680	23963056
haloperidol	rs3892097	27695358
haloperidol	rs7668258	27469576
haloperidol	rs909706	19369910
haloperidol	rs1415744	27092952
haloperidol	rs680055	25150845
haloperidol	rs2242480	23077486
haloperidol	rs17143212	25647612
haloperidol	rs518147	21121776
rs11692021	SN-38	12181437
rs11692021	irinotecan	12181437;19696792;23386248
rs6878291	platinum	27676404
rs79299226	cisapride	12208804
rs3916965	methamphetamine	19482054
rs3749034	methadone	31866536
rs718656	opioids	33589790
rs113165732	tenofovir	25485598
rs36024412	opioids	31953506
rs7317112	Glucarpidase	33788417
rs7317112	methotrexate	25348617;36764694
rs4244809	Platinum compounds	30672383
rs12800734	antidepressants	19924111
rs7259857	radiotherapy	25054431
rs1801516	fluorouracil	29507678
rs1801516	cyclophosphamide	29507678
rs1801516	doxorubicin	29507678
rs4838547	nicotine	20383528
rs72552267	fluoxetine	28494448
rs72552267	methadone	27199033
rs3832043	mycophenolic acid	25163792
rs3832043	axitinib	29682213
rs3832043	SN-38	16636344;18221820;24897286
rs3832043	mycophenolate mofetil	18946804
rs3832043	sorafenib	31967518
rs28935490	migalastat	30723321
rs2229774	anthracyclines and related substances	26237429;32587261;34525346;35147047;36728273;37828659;38951505
rs540825	fentanyl	23144877
rs1239344	radiotherapy	25054431
rs78482393	duloxetine	29407288
rs3215400	cytarabine	18473752;21325291;21521023;22304580;22379997;23651026
rs3215400	azacitidine	26556583
rs11859453	aspirin	31854260
rs11859453	clopidogrel	31854260
rs3828743	abiraterone	29027195
rs3828743	prednisolone	29027195
rs502046	quetiapine	19156168
rs6600879	methadone	22676193
rs62319299	duloxetine	29407288
theophylline	rs2031920	16841220
theophylline	rs3813867	16841220
theophylline	rs2069514	12732846;16841220
theophylline	rs35694136	20797314
rs141084494	fluorouracil	29593529
rs141084494	cyclophosphamide	29593529
rs141084494	epirubicin	29593529
rs3889402	duloxetine	29407288
rs2501873	docetaxel	24193570
rs11168292	warfarin	29298995
ritodrine	rs10774053	28391406
ritodrine	rs17128809	31324945
ritodrine	rs7625907	32371615
ritodrine	rs7624046	32371615
ritodrine	rs9839376	32371615
rs2227310	Platinum compounds	22441531
rs2227310	docetaxel	22441531
rs2227310	gemcitabine	22441531
rs2227310	paclitaxel	22441531
rs2227310	vinorelbine	22441531
rs56355515	duloxetine	29407288
rs17514110	cyclosporine	25425682
rs17514110	methotrexate	25425682
rs2066702	ethanol	
rs2066702	naltrexone	34680127
rs6949799	aspirin	21086123
rs3025040	sorafenib	22736425
rs73032311	mercaptopurine	32265697
furosemide	rs5063	20877298
furosemide	rs5065	20877298
furosemide	rs5443	20877298
furosemide	rs4149056	36804920
furosemide	rs5723	17460608
furosemide	rs5729	17460608
furosemide	rs1529927	17460608;20877298
furosemide	rs1799752	20877298
furosemide	rs4961	20877298;21692745
furosemide	rs1799998	21692745
furosemide	rs17268282	26927285
rs1457266	antipsychotics	16734940
rs767263838	o-desmethyltramadol	29705271
rs767263838	tapentadol	29705271
rs767263838	acetaminophen	29705271
rs767263838	morphine	29705271
rs767263838	tramadol	29705271
rs307821	sunitinib	22015057;23462807
rs307821	pazopanib	26063633
simvastatin acid	rs4149056	17108811;24598718;25446771;25673568;26164721;26367500;26774055;28350522;29469964
rs121918595	desflurane	10888602;16163667;16917943;18564801;19648156;25960145
rs121918595	enflurane	10888602;16163667;16917943;18564801;19648156;25960145
rs121918595	halothane	10888602;16163667;16917943;18564801;19648156;25960145
rs121918595	isoflurane	10888602;16163667;16917943;18564801;19648156;25960145
rs121918595	methoxyflurane	10888602;16163667;16917943;18564801;19648156;25960145
rs121918595	sevoflurane	10888602;16163667;16917943;18564801;19648156;25960145
rs121918595	succinylcholine	10888602;16163667;16917943;18564801;19648156;25960145
rs5882	rosuvastatin	31806882
rs5882	fluvastatin	16002074
rs5882	simvastatin	17931083
rs7294	acenocoumarol	18781852;25519826;29479633
rs4290270	disulfiram	22925276
rs1806201	quetiapine	23859574
rs1806201	risperidone	23859574
rs1806201	sevoflurane	35943164
rs699947	fluorouracil	20125120;25955730
rs699947	oxaliplatin	20125120;25955730
rs699947	sunitinib	22948895;23511629;26935927;27175586
rs699947	pazopanib	21576632;27175586
rs699947	capecitabine	20125120;25955730
rs699947	enalapril	26002049
rs699947	irinotecan	20125120;25955730
rs699947	leucovorin	20125120;25955730
rs699947	sildenafil	23007311
rs699947	sorafenib	24510746
rs760370	peginterferon alfa-2a	20812847
rs760370	peginterferon alfa-2b	20812847
rs760370	tipiracil hydrochloride	28992563
rs760370	gemcitabine	20665488;24361227
rs760370	paclitaxel	24361227
rs760370	ribavirin	20812847
rs760370	trifluridine	28992563
rs568367673	fluorouracil	29327356
rs2854746	fluorouracil	20860465
rs362267	risperidone	28696411
rs121909047	lumacaftor	26137539
rs121909047	elexacaftor / tezacaftor / ivacaftor	38614858;39048464
rs2193225	nicotine	18270208
rs8110364	fluorouracil	29593529
rs8110364	cyclophosphamide	29593529
rs8110364	epirubicin	29593529
rs17135437	citalopram	22760553
rs10224002	hydrochlorothiazide	31327267
rs4305746	aripiprazole	19345712
rs1056515	fluorouracil	25069475
rs1056515	bevacizumab	25069475
rs1056515	irinotecan	25069475
rs1056515	leucovorin	25069475
rs940052	radiotherapy	25054431
rs12143842	amlodipine	25171760
rs12143842	chlorthalidone	25171760
rs12143842	lisinopril	25171760
rs947267	methamphetamine	19482054
rs28656907	imatinib	30713339
rs12487736	rosuvastatin	27885915;29318930
rs12487736	simvastatin	16158080
rs11568732	clopidogrel	29260275
rs3803304	carboplatin	20447721
rs3803304	cisplatin	20447721
rs113878252	Tumor necrosis factor alpha (TNF-alpha) inhibitors	25896534
rs2307424	sunitinib	23462807
rs2307424	(R)-methadone	34482033
rs12678747	aspirin	34864618
rs234709	Arsenic compounds	20670920
rs121913500	olutasidenib	
rs135757	heroin	25521358
rs11568658	valganciclovir	27402191
rs11568658	latanoprost	25339146
rs11568658	misoprostol	26122863
doxazosin	rs1137617	23613831
doxazosin	rs553668	35453646
doxazosin	rs10515807	35453646
doxazosin	rs521674	35453646
rs1884613	efavirenz	26774523
rs1884613	warfarin	31461081
rs1142345	cyclophosphamide	24533712;36580335
rs1142345	cytarabine	36580335
rs1142345	daunorubicin	36580335
rs1142345	doxorubicin	36580335
rs1142345	vincristine	36580335
rs1142345	purine analogues	22846425
rs5272	nimesulide	20548327
rs11983225	amitriptyline	18215618
rs11983225	citalopram	18215618
rs11983225	paroxetine	18215618
rs11983225	venlafaxine	18215618
rs2631367	sunitinib	28117434
etanercept	rs928655	28470127
etanercept	rs1050501	25823782
etanercept	rs1061622	25537528;30075559
etanercept	rs1800896	12759288
etanercept	rs6427528	23555300;27564082
etanercept	rs3794271	23651021
etanercept	rs13393173	33124499
etanercept	rs1059150	26307125
etanercept	rs3787186	34320607
etanercept	rs352139	34635730
etanercept	rs1264457	26307125
etanercept	rs1799724	15695296
etanercept	rs1800629	12759288;16720636;16909270;18050183;18713756;19365401;22760475
etanercept	rs2233945	28107378
etanercept	rs1800795	24253594
etanercept	rs28362491	27348478
etanercept	rs696	27348478
etanercept	rs2302489	26453102
etanercept	rs7301582	26453102
etanercept	rs9304742	28470127
etanercept	rs2546890	28470127
etanercept	rs96844	28470127
etanercept	rs2431697	28470127
etanercept	rs13437088	28470127
etanercept	rs885814	33124499
etanercept	rs1350948	33124499
etanercept	rs12081765	33124499
etanercept	rs17301249	33124499
rs1805094	atorvastatin	19023160
rs121908757	ivacaftor	22293084;25266159;26474553;28947035
rs121908757	elexacaftor / tezacaftor / ivacaftor	
rs4124874	deferasirox	26403473
rs4124874	bilirubin	15179405
rs4124874	oxazepam	29737521
rs553668	doxazosin	35453646
rs553668	phenoxybenzamine	35453646
rs117484357	capecitabine	28715540
lenalidomide	rs4135385	26521987
lenalidomide	rs4533622	26521987
lenalidomide	rs1870377	28488026
lenalidomide	rs2305948	28488026
lenalidomide	rs833061	28488026
lenalidomide	rs308395	28373444
rs3131003	allopurinol	29193002
rs4148323	SN-38	12181437;16636344;17627617;18221820;24897286
rs4148323	letermovir	31022310
rs4148323	carvedilol	16849011
rs4148323	indinavir	16609363
rs2799018	methylphenidate	29382897
rs78428806	fluorouracil	29593529
rs78428806	cyclophosphamide	29593529
rs78428806	epirubicin	29593529
rs7164594	varenicline	22048466
rs748620513	fluorouracil	29769267
rs363341	antipsychotics	27272046
halothane	rs1800559	12411788; 20431982; 28259615;11260227;12411788;15201141;16163667
halothane	rs772226819	12411788; 20431982; 28259615;11260227;19825159;22547813
halothane	rs1801086	11575529;12124989;1354642;15448513;16917943;18564801;19346234;19648156;21804810;23558838;25989378
halothane	rs28933396	12059893;12124989;15108991;16163667;16732084;16835904;16917943;17081152;17710899;19513315;19648156;20681998;21965348;25256590;25989378;8220422
halothane	rs28933397	10051009;11668625;12208234;15731587;16163667;16835904;20681998;24433488;9450902;9497245
halothane	rs63749869	14985404;17081152;17226826;23558838;25989378
halothane	rs111888148	16917943;19191329;19191333
halothane	rs112563513	16917943;19191329;19648156;21455645;23558838;23736090;24433488
halothane	rs118192116	8220423
halothane	rs118192122	10051009;10484775;11575529;12059893;12709367;15448513;16163667;16917943;17081152;19191333;19648156;20681998;21455645;23558838;24433488;25960145;26951757;27382027
halothane	rs118192124	10823104;12059893;14985404;22030266;24433488;25086907
halothane	rs118192161	11575529;12059893;12124989;12151923;12208234;12411788;15448513;15731587;16163667;16732084;16835904;16917943;17122579;18564801;19648156;21455645;21965348;23159934;23558838;25989378;7547049;7889656;8220423;8592342;9334205;9497245
halothane	rs118192162	16163667;16284304;19020143;7829078
halothane	rs118192163	12124989;12208234;12411786;15731587;16732084;16835904;16917943;19648156;21455645;23558838;26951757;9497245
halothane	rs118192167	11063719
halothane	rs118192170	10097181;17081152;25989378
halothane	rs118192172	10051009;10352931;10484775;11448278;11493496;11553045;11575529;11668625;12059893;12124989;12151923;12237752;12411788;12434264;14500992;14985404;1510267;15448513;16163667;16835904;16917943;17081152;17667581;17710899;1774074;18502356;18564801;19191333;19648156;20681998;21455645;24195946;24433488;25268394;25658027;25735680;25960145;25989378;26951757;27382027;27646467;7547049;7586638;7633940;7751854;7762556;8602662;9334205;9389851;9497245;9520251
halothane	rs118192175	10484775;12124989;9497245
halothane	rs118192176	10484775;11575529;11668625;12059893;12411786;12709367;15448513;16163667;16244001;16917943;17710899;19191333;19648156;20681998;21455645;23558838;24433488;25466363;25735680;25989378;9497245
halothane	rs118192177	10484775;11575529;12059893;12208234;12220451;15448513;15731587;16163667;16244001;16835904;16917943;17081152;18564801;19648156;19919814;23558838;24433488;25268394;25735680;25960145;25989378;9497245
halothane	rs118192178	16621918;16732084;16917943;19346234;19685112;26381711;27918309
halothane	rs118204423	22415532
halothane	rs121918592	10051009;12059893;12124989;12151923;12411788;15731587;16163667;16732084;16917943;17710899;18564801;19648156;20681998;21455645;23558838;24433488;25268394;25960145;29101530;8012359;8825043;8828983;8902717;9106529;9334205;9497245;9543323
halothane	rs121918593	10484775;10700782;10793526;11575529;11668625;12059893;12124989;12151923;12208234;12411786;15448513;15731587;16163667;16732128;16835904;16917943;17081152;18502356;18564801;18945287;19648156;20681998;21455645;21965348;23558838;23628358;24433488;25268394;25735680;25960145;26994242;27382027;27646467;28063098;28326467
halothane	rs121918594	14985404;16732084;16917943;18564801;19648156;22415532;9450902
halothane	rs121918595	10888602;16163667;16917943;18564801;19648156;25960145
halothane	rs147136339	25958340
halothane	rs193922747	16163667;17710899;20681998;9066328;9334205;9497245
halothane	rs193922753	16163667;16917943;25658027
halothane	rs193922770	16244001;16917943;25658027;25989378;9138151;9334205;9497245
halothane	rs193922772	10051009;10484775;16163667;17710899;19346234;20681998;24433488;25989378;9334205;9389851;9497245
halothane	rs193922802	11525881;15448513;15731587;16163667;16917943;19648156;24433488;25960145;26951757
halothane	rs193922803	12123492;15210166;19648156;23558838;24361844;25256590
halothane	rs193922807	14641996;24433488
halothane	rs193922809	12059893;16163667
halothane	rs193922816	10484775;10612851;12411788;16163667;20681998;24433488;25611019;25989378;29608462
halothane	rs193922818	16621918;16732084;16835904;16917943;17483490;21282829;25960145
halothane	rs193922876	18212565
halothane	rs193922878	11928716;16732084;16917943;18306019;19191329
halothane	rs193922843	19648156
halothane	rs193922832	19648156
halothane	rs118192168	15731587;19346234;19648156;21455645;21965348;23558838;24433488;25960145;27382027;27663056;28326467;28527222
halothane	rs193922764	12059893;16163667;24433488;25735680
halothane	rs121918596	11389482;27857962
halothane	rs193922748	12709367;24433488
halothane	rs193922762	12883402
halothane	rs193922768	12709367;20681998
halothane	rs144336148	16732084
rs17421511	methotrexate	25084201
rs5729	bumetanide	17460608
rs5729	furosemide	17460608
rs5729	hydrochlorothiazide	16172412
rs5729	torasemide	17460608
mitapivat	rs118204085	
rs3785143	atomoxetine	23266789
rs2276707	sunitinib	21097692;23462807;24874929
rs2276707	cyclosporine	20107201
rs2276707	risperidone	26129906
rs6907567	fluorouracil	20179710;29507678
amlodipine	rs5065	18212314
amlodipine	rs10494366	19076153
amlodipine	rs11122576	25278896
amlodipine	rs12143842	25171760
amlodipine	rs2238032	16610939
amlodipine	rs2239050	16610939
amlodipine	rs2239128	16610939
amlodipine	rs4291	20577119
amlodipine	rs200148	25171760
amlodipine	rs1045642	16869811
amlodipine	rs2032582	16869811
rs4406273	adalimumab	27564082
rs757284447	atorvastatin	30325262
rs9626730	fenofibrate	22547144
rs10994982	methotrexate	19684603
rs1656402	carboplatin	21079520
rs1656402	paclitaxel	21079520
rs139459586	capecitabine	
rs3809324	salbutamol	31486735
rs397508387	ivacaftor	
rs397508387	ivacaftor / tezacaftor	
rs1801086	desflurane	11575529;12124989;1354642;15448513;16917943;18564801;19346234;19648156;21804810;23558838;25989378
rs1801086	enflurane	11575529;12124989;1354642;15448513;16917943;18564801;19346234;19648156;21804810;23558838;25989378
rs1801086	halothane	11575529;12124989;1354642;15448513;16917943;18564801;19346234;19648156;21804810;23558838;25989378
rs1801086	isoflurane	11575529;12124989;1354642;15448513;16917943;18564801;19346234;19648156;21804810;23558838;25989378
rs1801086	methoxyflurane	11575529;12124989;1354642;15448513;16917943;18564801;19346234;19648156;21804810;23558838;25989378
rs1801086	sevoflurane	11575529;12124989;1354642;15448513;16917943;18564801;19346234;19648156;21804810;23558838;25989378
rs1801086	succinylcholine	11575529;12124989;1354642;15448513;16917943;18564801;19346234;19648156;21804810;23558838;25989378
rs17724452	duloxetine	29407288
rs6942227	lithium	29121268
rs2900420	Platinum compounds	24755914
abacavir	rs3093726	16998491
rs2067482	antipsychotics	23490763
rs3768142	methotrexate	24712521
rs212090	clozapine	28919802
rs460000	amphetamine	20091113
rs1136201	carboplatin	30071039
rs142211148	17beta-estradiol glucuronide	34693929
rs3397	Tumor necrosis factor alpha (TNF-alpha) inhibitors	25850964
rs6977820	antipsychotics	21826085
rs702764	butorphanol	31806881
rs145548112	capecitabine	
erythromycin	rs717620	21451505
erythromycin	rs4149056	22990751
erythromycin	rs35599367	23327575
rs9936750	capecitabine	24595012
rs148013902	fluorouracil	29593529
rs148013902	cyclophosphamide	29593529
rs148013902	epirubicin	29593529
rs12610827	olanzapine	30886581
rs2734842	olanzapine	21095016
rs2291858	interferon beta-1a	27001119
rs2291858	interferon beta-1b	27001119
nivolumab	rs113488022	
nivolumab	rs469490	36268685
rs5030865	dextromethorphan	17186005
rs7968606	amisulpride	28332719
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs3397	25850964
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs928655	18615156
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs983332	18615156
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs1050501	25823782
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs1061622	18565259;22129793;25537528;25850964;33887993
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs1061631	25850964
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs1800896	25896535
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs1813443	23233654
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs767455	22480748;25311255
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs2069705	26111149
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs2430561	24776844
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs4149570	24776844
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs4411591	23233654
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs1143623	28696418
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs1143627	28696418
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs4251961	24776844
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs4848306	24776844
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs13393173	18615156;33124499
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs6028945	18615156
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs6071980	18615156
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs6138150	18615156
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs352139	24776844;28696418;34635730
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs437943	18615156
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs1816702	24776844
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs3804099	24776844
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs4696480	24776844;28696418
Tumor necrosis factor alpha (TNF-alpha) inhibitors	rs11938228	24776844;28696418
